,id,data,label,data_clean
0,1,Nous aurons à être solidaires et accueillants de celles et ceux qui fuient aujourd’hui leur pays en guerre.,aide_sociale,solidaire accueillant fuir pays guerre
1,2,"🇺🇦 Solidarité avec l’Ukraine, solidarité avec le peuple ukrainien. https://t.co/r1l8bVoHHd",aide_sociale,solidarite ukraine solidarite peupler ukrainien
2,3,Je serai place de la République à Paris ce soir à 18h en soutien au peuple ukrainien. J’appelle tous les citoyens Français qui ont la paix au cœur à se mobiliser. La voix de notre peuple compte.,democratie,placer republique paris soir soutien peupler ukrainien appeler citoyen francais paix coeur mobiliser voix peupler compter
3,4,La responsabilité de la France est de tout faire pour que cesse la guerre aux portes de l’Europe. L’impuissance ne peut servir de réponse à la violation du droit international.,international,responsabilite france faire cesser guerre porter europe impuissance pouvoir servir reponse violation droit international
5,6,#UkraineRussie | Le droit international est violé. L’impuissance ne peut servir de réponse. https://t.co/NXVd1s84Nb,international,ukrainerussie droit international violer impuissance pouvoir servir reponse
6,7,"Disons les mots : ce n’est plus une agression, une attaque, une violation de frontières, c’est la guerre. C’est à cette hauteur que la France, l’Union européenne, le Conseil de l’Europe, l’OSCE et l’ONU doivent réagir. Solidarité avec le peuple ukrainien ChT",international,mot agression attaquer violation frontiere guerre hauteur france union europeen conseil europe osce onu devoir reagir solidarite peupler ukrainien
8,9,"2/2 À 2 mois de la fin de son mandat, #Macron engage la 🇫🇷 pour 60 ans de nucléaire alors que ce n’était pas dans son programme. Est-ce qu’on reste passif et l’on s’accommode ? Est-ce qu’on veut vivre comme ça ? C’est ça le sujet ! Pour moi non, pas 5 ans de plus.#TaubiraSorbonne",democratie,mois fin mandat engager nucleaire programmer rester passif accommoder vouloir vivre sujet non
9,10,"Sous ce quinquennat les gros patrimoines ont doublé en 2 ans. Un an avant la pandémie, les soignants étaient dans la rue. Les enseignants étaient dans la rue. 1/2 #TaubiraSorbonne",sante,quinquennat gros patrimoine double pandemie soignant ruer enseignant ruer
13,14,"Nous avons besoin que l’Union européenne devienne une entité géopolitique en tant que telle et géostratégique, capable d’anticiper les conflits. C’est notre mission, mais aussi, et surtout la votre. #TaubiraSorbonne",international,besoin union europeen devenir entite geopolitique geostrategique capable anticiper conflit mission
14,15,2/2 Que vous soyez une génération qui pense le monde et qui agit. C’est pour ça que mon « revenu d’émancipation et d’autonomie » est universel et égal pour toutes et tous. #TaubiraSorbonne,democratie,generation penser monde agir revenu emancipation autonomie universel egal
15,16,"46% des jeunes doivent travailler pendant leurs études et je trouve ça inadmissible, car nous avons la responsabilité qu’une génération s’installe comme génération. Je veux que vous, pendant cette période, vous vous forgiez votre conscience en étudiant. 1/2 #TaubiraSorbonne",education,jeune devoir travailler pendre etude trouver inadmissible responsabilite generation installer generation vouloir pendre periode forgiez conscience etudier
17,18,La #justice est l’épine dorsale de la démocratie. Il fallut réhabiliter sa mission mise à mal par le quinquennat de @NicolasSarkozy. J’ai augmenté les promotions des magistrats de 120 à 475 (record historique). Donc ce quinquennat en a bénéficié. #TaubiraSorbonne,democratie,justice epine dorsale democratie falloir rehabiliter mission miser mal quinquennat nicolassarkozy augmenter promotion magistrat record historique quinquennat beneficier
18,19,Je ne crois pas aux personnalités providentielles et j’ai la faiblesse supplémentaire de croire en la maturité du peuple FR. Il faut une personnalité qui ait le courage de rompre avec cette obsession de l’incarnation et qui consente à faire respirer la démocratie.#TaubiraSorbonne,democratie,croire personnalite providentiel faiblesse supplementaire croire maturite peupler fr falloir personnalite courage rompre obsession incarnation consentir faire respirer democratie
20,21,"Des députés ont su prendre leurs responsabilités, en renforçant l’accès à l’interruption volontaire de grossesse. Un progrès pour les droits des femmes. Il fallait mener cette bataille contre les arguments surannés de certains opposants.  ChT",democratie,depute su prendre responsabilite renforcer acces interruption volontaire grossesse progres droit femme falloir mener batailler contrer argument suranne opposant
23,24,"Le monde actuel n’est pas tolérable, trop injuste, trop violent. Si j'arrive à ce que vous puissiez créer une cohésion en tant que génération, ce sera ma fierté.Ma cause c'est la vôtre.",international,monde actuel tolerable trop injuste trop violent arriver pouvoir creer cohesion generation fierte causer
24,25,"Il y a un grand désordre dans la politique fiscale française. La classe moyenne paye 45% d'impôt et les très riches 10%.Je supprimerai les 491 niches fiscales et réintroduirai une progressivité de l'#Impôt, pour enfin avoir une politique fiscale juste et efficace !",pouvoir_achat,grand desordre politique fiscal francais classer moyenner payer impot riche supprimer niche fiscal reintroduirai progressivite impot politique fiscal efficace
25,26,"Je veux mettre un vrai milliard pour en finir avec les #ViolencesSexistesEtSexuelles et introduire, dès l'école élémentaire, une sensibilisation aux violences.On ne peut pas continuer à vivre comme des sauvages dans une société où l’on tue les femmes !https://t.co/j7tsRWNgC3",democratie,vouloir mettre vrai milliard finir violencessexistesetsexuelles introduire ecole elementaire sensibilisation violence pouvoir continuer vivre sauvage societe tuer femme
26,27,"En amont de la question du #Handicap il y a la question de l’accessibilité.Si nous rendons notre société inclusive, tout le monde en profitera.https://t.co/BP4jtnZ9Vr",aide_sociale,amont question handicap question accessibilite societe inclusif monde profiter
28,29,"Sur la #santé, il faut d’abord que le service public de santé soit à 30 minutes maximum de chaque citoyennes et citoyens.Mais il faut surtout une politique de santé publique.https://t.co/lqrgDZ7uRn",sante,sante falloir service public sante minuter maximum citoyen citoyen falloir politique sante public
30,31,"Les éléments dont nous disposons prouvent que manifestement il y a en Chine un génocide sur le peuple #Ouïghours. La France doit prendre des positions claires et formelles.Sinon, nous devenons complices !https://t.co/dRzZfrmwXm",international,element disposer prouver manifestement chiner genocide peupler ouighours france prendre position claire formel devenir complice
31,32,"Je veux également accompagner ce dispositif d'une création de 5 nouveaux établissements universitaires, dans des villes moyennes, avec 15 000 places chacun.",education,vouloir accompagner dispositif creation etablissement universitaire ville moyenne placer
33,34,"Il serait facile de vous dire qu'il faut baisser le droit de vote à 16 ans, mais je n'y suis pas favorable. Si nous baissons la majorité civique, nous entraînons une baisse de la responsabilité pénale.Émanciper la jeunesse mais ne pas la mettre en danger.https://t.co/daDmd2HkmP",democratie,facile falloir baisser droit voter favorable baisser majorite civique entrainer baisser responsabilite penal emanciper jeunesse mettre danger
34,35,"Si je dois retenir une mesure phare pour la jeunesse, c’est celle à destination des 80 000 décrocheurs. Je voudrais que nous leur donnions une nouvelle chance.La priorité est de réparer les injustices et les inégalités.https://t.co/KZmo8wDQwB",democratie,devoir retenir mesurer phare jeunesse destination decrocheurs vouloir donner nouvelle chance priorite reparer injustice inegalite
36,37,La Russie choisit la force et le fait accompli. Nous faisons face à un péril grave. La solidarité des États européens avec l’Ukraine ne doit pas faillir. Même si la diplomatie doit continuer d’œuvrer.ChT#Russie #Ukraine,international,russie choisir forcer accomplir faire face peril graver solidarite etat europeen ukraine faillir diplomatie continuer oeuvrer russie ukraine
40,41,"Nous étions le mardi 21 février 1995. Ibrahim Ali était assassiné avenue des Aygalades dans le 15e arrondissement de Marseille. Assassiné par le racisme, assassiné par l’ignorance et la bêtise, assassiné par l’extrême-droite. https://t.co/ItewWk7rmO",culture,mardi fevrier ibrahim ali assassine avenue aygalades arrondissement marseille assassine racisme assassine ignorance betise assassine extreme droite
41,42,"« Avant la retraite », au théâtre St Martin. Un retour, par des mots ordinaires, de l’horreur criminelle, meurtrière et tranquille. Terrifiant d’actualité. Sublime trio sur scène. Ce serait tellement bien si nous recommencions à remplir les salles de théâtre. ChT",culture,retraite theatre st martin mot ordinaire horreur criminel meurtrier tranquille terrifier actualite sublimer trio scene bien recommencer remplir salle theatre
47,48,"Cela me choque que l’on puisse traiter les accidents de #chasse comme une simple affaire de statistiques. 8 morts en 2021, c’est 8 morts de trop. #BFMpolitique",securite,choquer pouvoir traiter accident chasser simple affairer statistique mourir mourir trop
51,52,"Mes mesures pour plus de justice sociale et fiscale → https://t.co/njKAM1ynyN Le premier acte de mon quinquennat sera une revalorisation générale des bas salaires et bien entendu du SMIC, à hauteur de 1400€ net.#AvecTaubira ☀️ https://t.co/cxBANpECkY",democratie,mesurer justice social fiscal acte quinquennat revalorisation general salaire bien entendu smic hauteur net
52,53,"L’hôpital public s’effondre.Depuis 20 ans, il subit une logique comptable et des fermetures de lits sans fin.Je veux y créer 100 000 postes en cinq ans.Pour la #Sante → https://t.co/8OWTkMfyuy#AvecTaubira☀️ #HopitalPublic https://t.co/VqxKD00kxD",sante,hopital public effondrer subit logique comptable fermeture lit fin vouloir creer poster sante hopitalpublic
53,54,"Je le dis et le répète : l'écologie est l'#AffaireDuSiècle.→ https://t.co/9NgaoPCQVUPour une France🇫🇷 tournée vers l'avenir, respectueuse de l'environnement, de la biodiversité et de la justice sociale.#AvecTaubira ☀️ https://t.co/BpT4ld86Q7",ecologie,repeter ecologie affairedusiecle france tournee avenir respectueux environnement biodiversite justice social
56,57,"Les professionnels du #Handicap sont en grande difficulté. Ces mêmes professionnels qui avaient été exclus de la prime #Ségur 1, comme un symbole, comme un miroir du respect que le Gouvernement leur accorde. #AvecTaubira",aide_sociale,professionnel handicap grand difficulte professionnel exclure primer segur symbole miroir respect gouvernement accorder
