id,data,label
1,Nous aurons à être solidaires et accueillants de celles et ceux qui fuient aujourd’hui leur pays en guerre.,aide sociale
2,"🇺🇦 Solidarité avec l’Ukraine, solidarité avec le peuple ukrainien. https://t.co/r1l8bVoHHd",
3,Je serai place de la République à Paris ce soir à 18h en soutien au peuple ukrainien. J’appelle tous les citoyens Français qui ont la paix au cœur à se mobiliser. La voix de notre peuple compte.,international
4,La responsabilité de la France est de tout faire pour que cesse la guerre aux portes de l’Europe. L’impuissance ne peut servir de réponse à la violation du droit international.,international
5,"Ce matin devant l’ambassade de Russie j’ai vu la tristesse, la dignité et la mobilisation des jeunes Ukrainiens de France. Je leur apporte mon soutien.",
6,#UkraineRussie | Le droit international est violé. L’impuissance ne peut servir de réponse. https://t.co/NXVd1s84Nb,international
7,"Disons les mots : ce n’est plus une agression, une attaque, une violation de frontières, c’est la guerre. C’est à cette hauteur que la France, l’Union européenne, le Conseil de l’Europe, l’OSCE et l’ONU doivent réagir. Solidarité avec le peuple ukrainien ChT",international
8,Merci à toutes et tous ☀️#TaubiraSorbonne @DebatEnSorbonne https://t.co/nFW1llpNRq,
9,"2/2 À 2 mois de la fin de son mandat, #Macron engage la 🇫🇷 pour 60 ans de nucléaire alors que ce n’était pas dans son programme. Est-ce qu’on reste passif et l’on s’accommode ? Est-ce qu’on veut vivre comme ça ? C’est ça le sujet ! Pour moi non, pas 5 ans de plus.#TaubiraSorbonne",justice
10,"Sous ce quinquennat les gros patrimoines ont doublé en 2 ans. Un an avant la pandémie, les soignants étaient dans la rue. Les enseignants étaient dans la rue. 1/2 #TaubiraSorbonne",sante
11,"L'extrême droite est un danger réel. Elle exclut, mais s’est installée dans l’espace public — notamment sur le thème du déclassement auquel ils seront incapables de répondre. Il nous faut combattre ces paroles et assécher le terreau sur lequel ils prospèrent. #TaubiraSorbonne",
12,2/2 Et tous les jours les candidats s’astreignent à parler des sujets que les sondages remontent. La candidate LR a fini par reprendre la sémantique de l’extrême droite. Ne vous laissez pas avoir. #TaubiraSorbonne,numerique
13,"#Présidentielle2022 : Des sondages au quotidien ! Des structures privées, qui gagnent de l’argent, nous servent tous les jours « la mesure statistique arithmétique de l’opinion » et tous les jours les médias en parlent. 1/2",numerique
14,"Nous avons besoin que l’Union européenne devienne une entité géopolitique en tant que telle et géostratégique, capable d’anticiper les conflits. C’est notre mission, mais aussi, et surtout la votre. #TaubiraSorbonne",
15,2/2 Que vous soyez une génération qui pense le monde et qui agit. C’est pour ça que mon « revenu d’émancipation et d’autonomie » est universel et égal pour toutes et tous. #TaubiraSorbonne,justice
16,"46% des jeunes doivent travailler pendant leurs études et je trouve ça inadmissible, car nous avons la responsabilité qu’une génération s’installe comme génération. Je veux que vous, pendant cette période, vous vous forgiez votre conscience en étudiant. 1/2 #TaubiraSorbonne",education
17,Nous ne pouvons pas continuer à vivre dans une société où l’on tue des femmes. Je veux mettre un vrai milliard sur la table - pas le faux milliard du gouvernement - pour un monde où les hommes ne tuent pas les femmes. #TaubiraSorbonne,
18,La #justice est l’épine dorsale de la démocratie. Il fallut réhabiliter sa mission mise à mal par le quinquennat de @NicolasSarkozy. J’ai augmenté les promotions des magistrats de 120 à 475 (record historique). Donc ce quinquennat en a bénéficié. #TaubiraSorbonne,justice
19,Je ne crois pas aux personnalités providentielles et j’ai la faiblesse supplémentaire de croire en la maturité du peuple FR. Il faut une personnalité qui ait le courage de rompre avec cette obsession de l’incarnation et qui consente à faire respirer la démocratie.#TaubiraSorbonne,liberte
20,🔴Suivez en direct mon débat avec les étudiants dans le cadre du cycle @DebatEnSorbonne https://t.co/zuOs5EhRNU_#TaubiraSorbonne @SorbonneParis1,
21,"Des députés ont su prendre leurs responsabilités, en renforçant l’accès à l’interruption volontaire de grossesse. Un progrès pour les droits des femmes. Il fallait mener cette bataille contre les arguments surannés de certains opposants.  ChT",justice
22,"📣À toutes et tous, je vous donne rendez-vous ce dimanche 27 février pour une réunion publique à #Rennes à 17h → https://t.co/Yk2HmUN4Cq#AvecTaubira ☀️ https://t.co/OoJWpd0WxP",delete
23,Retrouvez mes propositions 👇https://t.co/9NgaoPCQVU,
24,"Le monde actuel n’est pas tolérable, trop injuste, trop violent. Si j'arrive à ce que vous puissiez créer une cohésion en tant que génération, ce sera ma fierté.Ma cause c'est la vôtre.",international
25,"Il y a un grand désordre dans la politique fiscale française. La classe moyenne paye 45% d'impôt et les très riches 10%.Je supprimerai les 491 niches fiscales et réintroduirai une progressivité de l'#Impôt, pour enfin avoir une politique fiscale juste et efficace !",pouvoir achat
26,"Je veux mettre un vrai milliard pour en finir avec les #ViolencesSexistesEtSexuelles et introduire, dès l'école élémentaire, une sensibilisation aux violences.On ne peut pas continuer à vivre comme des sauvages dans une société où l’on tue les femmes !https://t.co/j7tsRWNgC3",
27,"En amont de la question du #Handicap il y a la question de l’accessibilité.Si nous rendons notre société inclusive, tout le monde en profitera.https://t.co/BP4jtnZ9Vr",aide sociale
28,"Il faut des investissements massifs dans la #Recherche, en France et en Europe. Nous avons des capacités dans ce pays, il faut leur donner des moyens.https://t.co/V9RcWeQD7n",autre
