1_ortho,3_lemme
a,a
a,avoir
a,avoir
a capella,a capella
a cappella,a cappella
a contrario,a contrario
a fortiori,a fortiori
a giorno,a giorno
a jeun,à jeun
a l'instar,a l'instar
a posteriori,a posteriori
a priori,a priori
a priori,a priori
aa,aa
ab absurdo,ab absurdo
ab initio,ab initio
ab ovo,ab ovo
abaca,abaca
abaissa,abaisser
abaissai,abaisser
abaissaient,abaisser
abaissait,abaisser
abaissant,abaissant
abaissant,abaisser
abaissante,abaissant
abaisse,abaisse
abaisse,abaisser
abaisse-langue,abaisse-langue
abaissement,abaissement
abaissent,abaisser
abaisser,abaisser
abaissera,abaisser
abaisserai,abaisser
abaisseraient,abaisser
abaisserais,abaisser
abaisserait,abaisser
abaisses,abaisser
abaissez,abaisser
abaissons,abaisser
abaissèrent,abaisser
abaissé,abaisser
abaissé,abaissé
abaissée,abaisser
abaissée,abaissé
abaissées,abaisser
abaissées,abaissé
abaissés,abaisser
abaissés,abaissé
abalone,abalone
abalones,abalone
abandon,abandon
abandonna,abandonner
abandonnai,abandonner
abandonnaient,abandonner
abandonnais,abandonner
abandonnait,abandonner
abandonnant,abandonner
abandonnas,abandonner
abandonne,abandonner
abandonnent,abandonner
abandonner,abandonner
abandonnera,abandonner
abandonnerai,abandonner
abandonneraient,abandonner
abandonnerais,abandonner
abandonnerait,abandonner
abandonneras,abandonner
abandonnerez,abandonner
abandonneriez,abandonner
abandonnerions,abandonner
abandonnerons,abandonner
abandonneront,abandonner
abandonnes,abandonner
abandonneurs,abandonneur
abandonnez,abandonner
abandonniez,abandonner
abandonnions,abandonner
abandonnique,abandonnique
abandonnons,abandonner
abandonnâmes,abandonner
abandonnât,abandonner
abandonnèrent,abandonner
abandonné,abandonner
abandonné,abandonné
abandonnée,abandonner
abandonnée,abandonné
abandonnées,abandonner
abandonnées,abandonné
abandonnés,abandonner
abandonnés,abandonné
abandons,abandon
abaque,abaque
abasourdi,abasourdi
abasourdi,abasourdir
abasourdie,abasourdi
abasourdie,abasourdir
abasourdir,abasourdir
abasourdis,abasourdi
abasourdis,abasourdir
abasourdissant,abasourdissant
abasourdissants,abasourdissant
abat,abat
abat,abattre
abat-jour,abat-jour
abat-son,abat-son
abatage,abatage
abatis,abatis
abats,abat
abats,abattre
abattage,abattage
abattages,abattage
abattaient,abattre
abattais,abattre
abattait,abattre
abattant,abattant
abattant,abattre
abattants,abattant
abatte,abattre
abattement,abattement
abattements,abattement
abattent,abattre
abattes,abattre
abatteur,abatteur
abatteurs,abatteur
abattez,abattre
abattiez,abattre
abattions,abattre
abattirent,abattre
abattis,abattis
abattis,abattre
abattit,abattre
abattoir,abattoir
abattoirs,abattoir
abattons,abattre
abattra,abattre
abattrai,abattre
abattraient,abattre
abattrais,abattre
abattrait,abattre
abattras,abattre
abattre,abattre
abattrez,abattre
abattriez,abattre
abattrons,abattre
abattront,abattre
abattu,abattre
abattu,abattu
abattu,abattu
abattue,abattre
abattue,abattu
abattues,abattre
abattues,abattu
abattures,abatture
abattus,abattre
abattus,abattu
abattus,abattu
abbatial,abbatial
abbatiale,abbatial
abbatiale,abbatiale
abbatiales,abbatial
abbaye,abbaye
abbayes,abbaye
abbesse,abbé
abbesses,abbé
abbé,abbé
abbés,abbé
abc,abc
abcès,abcès
abdication,abdication
abdications,abdication
abdiqua,abdiquer
abdiquai,abdiquer
abdiquaient,abdiquer
abdiquais,abdiquer
abdiquait,abdiquer
abdiquant,abdiquer
abdique,abdiquer
abdiquer,abdiquer
abdiquera,abdiquer
abdiquerais,abdiquer
abdiquerait,abdiquer
abdiquez,abdiquer
abdiqué,abdiquer
abdiquée,abdiquer
abdomen,abdomen
abdominal,abdominal
abdominale,abdominal
abdominales,abdominal
abdominaux,abdominal
abdominaux,abdominal
abdos,abdos
abducteur,abducteur
abduction,abduction
abeille,abeille
abeilles,abeille
aber,aber
aberrant,aberrant
aberrant,aberrer
aberrante,aberrant
aberrantes,aberrant
aberrants,aberrant
aberration,aberration
aberrations,aberration
abhorrais,abhorrer
abhorrait,abhorrer
abhorrant,abhorrer
abhorre,abhorrer
abhorrer,abhorrer
abhorrez,abhorrer
abhorré,abhorrer
abhorré,abhorré
abhorrée,abhorrer
abhorrée,abhorré
abhorrés,abhorrer
abject,abject
abjecte,abject
abjectement,abjectement
abjectes,abject
abjection,abjection
abjections,abjection
abjects,abject
abjurant,abjurer
abjuration,abjuration
abjurations,abjuration
abjure,abjurer
abjurer,abjurer
abjurez,abjurer
abjurons,abjurer
abjuré,abjurer
abkhaze,abkhaze
ablatif,ablatif
ablation,ablation
ablations,ablation
able,able
ablette,ablette
ablettes,ablette
ablution,ablution
ablutions,ablution
abnégation,abnégation
aboi,aboi
aboie,aboyer
aboiement,aboiement
aboiements,aboiement
aboient,aboyer
aboiera,aboyer
aboierait,aboyer
aboieront,aboyer
aboies,aboyer
abois,aboi
aboli,aboli
aboli,abolir
abolie,aboli
abolie,abolir
abolies,aboli
abolies,abolir
abolir,abolir
abolira,abolir
abolirait,abolir
aboliras,abolir
abolis,aboli
abolis,abolir
abolissaient,abolir
abolissais,abolir
abolissait,abolir
abolissant,abolir
abolissent,abolir
abolissions,abolir
abolissons,abolir
abolit,abolir
abolition,abolition
abolitionniste,abolitionniste
abolitionniste,abolitionniste
abolitionnistes,abolitionniste
abolitionnistes,abolitionniste
abominable,abominable
abominablement,abominablement
abominables,abominable
abominaient,abominer
abomination,abomination
abominations,abomination
abomine,abominer
abominer,abominer
abonda,abonder
abondai,abonder
abondaient,abonder
abondais,abonder
abondait,abonder
abondamment,abondamment
abondance,abondance
abondant,abondant
abondant,abonder
abondante,abondant
abondantes,abondant
abondants,abondant
abondassent,abonder
abonde,abonder
abondent,abonder
abonder,abonder
abondé,abonder
abonnai,abonner
abonnant,abonner
abonne,abonner
abonnement,abonnement
abonnements,abonnement
abonner,abonner
abonnez,abonner
abonnât,abonner
abonné,abonner
abonné,abonné
abonné,abonné
abonnée,abonner
abonnée,abonné
abonnée,abonné
abonnées,abonner
abonnées,abonné
abonnés,abonner
abonnés,abonné
abonnés,abonné
abord,abord
aborda,aborder
abordable,abordable
abordables,abordable
abordage,abordage
abordages,abordage
abordai,aborder
abordaient,aborder
abordais,aborder
abordait,aborder
abordant,aborder
aborde,aborder
abordent,aborder
aborder,aborder
abordera,aborder
aborderai,aborder
aborderaient,aborder
aborderais,aborder
aborderait,aborder
aborderiez,aborder
aborderions,aborder
aborderons,aborder
aborderont,aborder
abordes,aborder
abordez,aborder
abordiez,aborder
abordions,aborder
abordons,aborder
abords,abord
abordâmes,aborder
abordèrent,aborder
abordé,aborder
abordé,abordé
abordée,aborder
abordées,aborder
abordées,abordé
abordés,aborder
abordés,abordé
aborigène,aborigène
aborigène,aborigène
aborigènes,aborigène
aborigènes,aborigène
abornement,abornement
abortif,abortif
abortive,abortif
abortives,abortif
abouchaient,aboucher
abouchais,aboucher
abouchait,aboucher
abouchant,aboucher
abouchements,abouchement
aboucher,aboucher
abouché,aboucher
abouchée,aboucher
abouchés,aboucher
aboule,abouler
abouler,abouler
aboules,abouler
aboulez,abouler
aboulie,aboulie
aboulique,aboulique
abouliques,aboulique
abounas,abouna
about,about
aboutait,abouter
abouti,abouti
abouti,aboutir
aboutie,abouti
aboutie,aboutir
aboutir,aboutir
aboutira,aboutir
aboutirai,aboutir
